event_occurrence_id,event_name,event_date_time_start,event_date_time_end,event_location,event_capacity,event_registration_deadline
1,Mentor Office Hours,10/6/24 10:00,10/6/24 12:00,Ella Rises HQ,100,9/29/24 10:00
2,Robotics Lab Saturday,4/2/22 10:00,4/2/22 12:00,Ella Rises HQ,100,3/26/22 10:00
3,Mentor Office Hours,10/27/24 10:00,10/27/24 12:00,Virtual Zoom,100,10/20/24 10:00
4,Mentor Office Hours,9/11/22 10:00,9/11/22 12:00,Art Studio 2,100,9/4/22 10:00
5,Mentor Office Hours,8/27/23 10:00,8/27/23 12:00,Ella Rises HQ,100,8/20/23 10:00
6,Girls in STEAM Mentoring,11/5/24 10:00,11/5/24 12:00,Community Center Room A,100,10/29/24 10:00
7,Mentor Office Hours,1/2/22 10:00,1/2/22 12:00,Community Center Room A,100,12/26/21 10:00
8,Mentor Office Hours,10/5/25 10:00,10/5/25 12:00,Local Library,100,9/28/25 10:00
9,Robotics Lab Saturday,11/18/23 10:00,11/18/23 12:00,Community Center Room A,100,11/11/23 10:00
10,Mentor Office Hours,6/23/24 10:00,6/23/24 12:00,Ella Rises HQ,100,6/16/24 10:00
11,Girls in STEAM Mentoring,4/4/23 10:00,4/4/23 12:00,Community Center Room A,100,3/28/23 10:00
12,Monthly Coding Club,6/15/24 10:00,6/15/24 12:00,Virtual Zoom,100,6/8/24 10:00
13,Intro to Painting Class,9/18/25 10:00,9/18/25 12:00,Local Library,100,9/11/25 10:00
14,Robotics Lab Saturday,2/3/24 10:00,2/3/24 12:00,Local Library,100,1/27/24 10:00
15,Mentor Office Hours,6/16/24 10:00,6/16/24 12:00,Art Studio 2,100,6/9/24 10:00
16,Intro to Painting Class,9/5/24 10:00,9/5/24 12:00,Community Center Room A,100,8/29/24 10:00
17,Mentor Office Hours,8/24/25 10:00,8/24/25 12:00,Local Library,100,8/17/25 10:00
18,Data Science Study Group,11/10/21 10:00,11/10/21 12:00,Community Center Room A,100,11/3/21 10:00
19,Data Science Study Group,3/1/23 10:00,3/1/23 12:00,Community Center Room A,100,2/22/23 10:00
20,Mentor Office Hours,7/2/23 10:00,7/2/23 12:00,Virtual Zoom,100,6/25/23 10:00
21,Girls in STEAM Mentoring,9/5/23 10:00,9/5/23 12:00,Virtual Zoom,100,8/29/23 10:00
22,Leadership Circle Meetup,5/15/23 10:00,5/15/23 12:00,Community Center Room A,100,5/8/23 10:00
23,Girls in STEAM Mentoring,3/18/25 10:00,3/18/25 12:00,Local Library,100,3/11/25 10:00
24,Intro to Painting Class,9/29/22 10:00,9/29/22 12:00,Local Library,100,9/22/22 10:00
25,Intro to Painting Class,6/1/23 10:00,6/1/23 12:00,Local Library,100,5/25/23 10:00
26,Web Dev Bootcamp Night,10/10/25 10:00,10/10/25 12:00,Community Center Room A,100,10/3/25 10:00
27,Data Science Study Group,11/23/22 10:00,11/23/22 12:00,Local Library,100,11/16/22 10:00
28,Data Science Study Group,4/26/23 10:00,4/26/23 12:00,Virtual Zoom,100,4/19/23 10:00
29,Girls in STEAM Mentoring,9/12/23 10:00,9/12/23 12:00,Ella Rises HQ,100,9/5/23 10:00
30,Robotics Lab Saturday,5/3/25 10:00,5/3/25 12:00,Local Library,100,4/26/25 10:00
31,Girls in STEAM Mentoring,8/30/22 10:00,8/30/22 12:00,Local Library,100,8/23/22 10:00
32,Ella Rises Annual Leadership Conference,6/15/22 10:00,6/15/22 12:00,Community Center Room A,100,6/8/22 10:00
33,Web Dev Bootcamp Night,5/27/22 10:00,5/27/22 12:00,Ella Rises HQ,100,5/20/22 10:00
34,Web Dev Bootcamp Night,6/24/22 10:00,6/24/22 12:00,Ella Rises HQ,100,6/17/22 10:00
35,Mentor Office Hours,6/8/25 10:00,6/8/25 12:00,Community Center Room A,100,6/1/25 10:00
36,Mentor Office Hours,4/21/24 10:00,4/21/24 12:00,Local Library,100,4/14/24 10:00
37,Girls in STEAM Mentoring,6/11/24 10:00,6/11/24 12:00,Virtual Zoom,100,6/4/24 10:00
38,Mentor Office Hours,1/14/24 10:00,1/14/24 12:00,Ella Rises HQ,100,1/7/24 10:00
39,Intro to Painting Class,8/1/24 10:00,8/1/24 12:00,Virtual Zoom,100,7/25/24 10:00
40,Robotics Lab Saturday,3/11/23 10:00,3/11/23 12:00,Virtual Zoom,100,3/4/23 10:00
41,Girls in STEAM Mentoring,10/11/22 10:00,10/11/22 12:00,Community Center Room A,100,10/4/22 10:00
42,Mentor Office Hours,6/18/23 10:00,6/18/23 12:00,Art Studio 2,100,6/11/23 10:00
43,Mentor Office Hours,12/5/21 10:00,12/5/21 12:00,Community Center Room A,100,11/28/21 10:00
44,Girls in STEAM Mentoring,10/22/24 10:00,10/22/24 12:00,Art Studio 2,100,10/15/24 10:00
45,Girls in STEAM Mentoring,10/10/23 10:00,10/10/23 12:00,Ella Rises HQ,100,10/3/23 10:00
46,Mentor Office Hours,9/4/22 10:00,9/4/22 12:00,Virtual Zoom,100,8/28/22 10:00
47,Mentor Office Hours,3/9/25 10:00,3/9/25 12:00,Art Studio 2,100,3/2/25 10:00
48,Robotics Lab Saturday,4/15/23 10:00,4/15/23 12:00,Ella Rises HQ,100,4/8/23 10:00
49,Mentor Office Hours,10/22/23 10:00,10/22/23 12:00,Community Center Room A,100,10/15/23 10:00
50,Mentor Office Hours,5/7/23 10:00,5/7/23 12:00,Ella Rises HQ,100,4/30/23 10:00
51,Girls in STEAM Mentoring,5/16/23 10:00,5/16/23 12:00,Local Library,100,5/9/23 10:00
52,Leadership Circle Meetup,3/15/23 10:00,3/15/23 12:00,Local Library,100,3/8/23 10:00
53,Web Dev Bootcamp Night,12/27/24 10:00,12/27/24 12:00,Local Library,100,12/20/24 10:00
54,Leadership Circle Meetup,12/15/22 10:00,12/15/22 12:00,Ella Rises HQ,100,12/8/22 10:00
55,Web Dev Bootcamp Night,5/9/25 10:00,5/9/25 12:00,Virtual Zoom,100,5/2/25 10:00
56,Girls in STEAM Mentoring,5/13/25 10:00,5/13/25 12:00,Local Library,100,5/6/25 10:00
57,Mentor Office Hours,8/20/23 10:00,8/20/23 12:00,Art Studio 2,100,8/13/23 10:00
58,Mentor Office Hours,10/1/23 10:00,10/1/23 12:00,Local Library,100,9/24/23 10:00
59,Intro to Painting Class,9/4/25 10:00,9/4/25 12:00,Local Library,100,8/28/25 10:00
60,Robotics Lab Saturday,4/27/24 10:00,4/27/24 12:00,Ella Rises HQ,100,4/20/24 10:00
61,Robotics Lab Saturday,3/4/23 10:00,3/4/23 12:00,Local Library,100,2/25/23 10:00
62,Girls in STEAM Mentoring,8/6/24 10:00,8/6/24 12:00,Local Library,100,7/30/24 10:00
63,Web Dev Bootcamp Night,2/28/25 10:00,2/28/25 12:00,Community Center Room A,100,2/21/25 10:00
64,Mentor Office Hours,5/12/24 10:00,5/12/24 12:00,Community Center Room A,100,5/5/24 10:00
65,Mentor Office Hours,11/2/25 10:00,11/2/25 12:00,Community Center Room A,100,10/26/25 10:00
66,Girls in STEAM Mentoring,9/27/22 10:00,9/27/22 12:00,Art Studio 2,100,9/20/22 10:00
67,Data Science Study Group,9/24/25 10:00,9/24/25 12:00,Local Library,100,9/17/25 10:00
68,Girls in STEAM Mentoring,10/15/24 10:00,10/15/24 12:00,Ella Rises HQ,100,10/8/24 10:00
69,Robotics Lab Saturday,9/24/22 10:00,9/24/22 12:00,Local Library,100,9/17/22 10:00
70,Mentor Office Hours,11/14/21 10:00,11/14/21 12:00,Art Studio 2,100,11/7/21 10:00
71,Data Science Study Group,5/31/23 10:00,5/31/23 12:00,Ella Rises HQ,100,5/24/23 10:00
72,Mentor Office Hours,7/20/25 10:00,7/20/25 12:00,Community Center Room A,100,7/13/25 10:00
73,Mentor Office Hours,6/9/24 10:00,6/9/24 12:00,Local Library,100,6/2/24 10:00
74,Robotics Lab Saturday,12/4/21 10:00,12/4/21 12:00,Local Library,100,11/27/21 10:00
75,Data Science Study Group,8/13/25 10:00,8/13/25 12:00,Art Studio 2,100,8/6/25 10:00
76,Web Dev Bootcamp Night,3/24/23 10:00,3/24/23 12:00,Virtual Zoom,100,3/17/23 10:00
77,Web Dev Bootcamp Night,4/26/24 10:00,4/26/24 12:00,Community Center Room A,100,4/19/24 10:00
78,Monthly Coding Club,2/15/24 10:00,2/15/24 12:00,Ella Rises HQ,100,2/8/24 10:00
79,Data Science Study Group,8/30/23 10:00,8/30/23 12:00,Ella Rises HQ,100,8/23/23 10:00
80,Mentor Office Hours,8/31/25 10:00,8/31/25 12:00,Community Center Room A,100,8/24/25 10:00
81,Data Science Study Group,10/29/25 10:00,10/29/25 12:00,Local Library,100,10/22/25 10:00
82,Web Dev Bootcamp Night,2/14/25 10:00,2/14/25 12:00,Community Center Room A,100,2/7/25 10:00
83,Data Science Study Group,4/23/25 10:00,4/23/25 12:00,Virtual Zoom,100,4/16/25 10:00
84,Data Science Study Group,2/9/22 10:00,2/9/22 12:00,Community Center Room A,100,2/2/22 10:00
85,Intro to Painting Class,4/11/24 10:00,4/11/24 12:00,Community Center Room A,100,4/4/24 10:00
86,Robotics Lab Saturday,8/19/23 10:00,8/19/23 12:00,Virtual Zoom,100,8/12/23 10:00
87,Mentor Office Hours,9/29/24 10:00,9/29/24 12:00,Virtual Zoom,100,9/22/24 10:00
88,Data Science Study Group,4/10/24 10:00,4/10/24 12:00,Ella Rises HQ,100,4/3/24 10:00
89,Mentor Office Hours,3/12/23 10:00,3/12/23 12:00,Ella Rises HQ,100,3/5/23 10:00
90,Girls in STEAM Mentoring,2/20/24 10:00,2/20/24 12:00,Art Studio 2,100,2/13/24 10:00
91,Girls in STEAM Mentoring,2/18/25 10:00,2/18/25 12:00,Ella Rises HQ,100,2/11/25 10:00
92,Mentor Office Hours,10/12/25 10:00,10/12/25 12:00,Local Library,100,10/5/25 10:00
93,Mentor Office Hours,9/25/22 10:00,9/25/22 12:00,Local Library,100,9/18/22 10:00
94,Mentor Office Hours,12/18/22 10:00,12/18/22 12:00,Community Center Room A,100,12/11/22 10:00
95,Monthly Art Studio Workshop,7/15/22 10:00,7/15/22 12:00,Local Library,100,7/8/22 10:00
96,Mentor Office Hours,11/13/22 10:00,11/13/22 12:00,Ella Rises HQ,100,11/6/22 10:00
97,Monthly Art Studio Workshop,2/15/22 10:00,2/15/22 12:00,Virtual Zoom,100,2/8/22 10:00
98,Intro to Painting Class,6/12/25 10:00,6/12/25 12:00,Art Studio 2,100,6/5/25 10:00
99,Intro to Painting Class,6/29/23 10:00,6/29/23 12:00,Virtual Zoom,100,6/22/23 10:00
100,Intro to Painting Class,3/28/24 10:00,3/28/24 12:00,Community Center Room A,100,3/21/24 10:00
101,Mentor Office Hours,7/21/24 10:00,7/21/24 12:00,Community Center Room A,100,7/14/24 10:00
102,Intro to Painting Class,2/13/25 10:00,2/13/25 12:00,Art Studio 2,100,2/6/25 10:00
103,Intro to Painting Class,11/2/23 10:00,11/2/23 12:00,Community Center Room A,100,10/26/23 10:00
104,Mentor Office Hours,1/26/25 10:00,1/26/25 12:00,Art Studio 2,100,1/19/25 10:00
105,Mentor Office Hours,5/1/22 10:00,5/1/22 12:00,Community Center Room A,100,4/24/22 10:00
106,Girls in STEAM Mentoring,2/4/25 10:00,2/4/25 12:00,Ella Rises HQ,100,1/28/25 10:00
107,Intro to Painting Class,8/14/25 10:00,8/14/25 12:00,Community Center Room A,100,8/7/25 10:00
108,Mentor Office Hours,3/10/24 10:00,3/10/24 12:00,Art Studio 2,100,3/3/24 10:00
109,Mentor Office Hours,8/18/24 10:00,8/18/24 12:00,Art Studio 2,100,8/11/24 10:00
110,Robotics Lab Saturday,8/13/22 10:00,8/13/22 12:00,Ella Rises HQ,100,8/6/22 10:00
111,Robotics Lab Saturday,8/23/25 10:00,8/23/25 12:00,Local Library,100,8/16/25 10:00
112,Girls in STEAM Mentoring,11/1/22 10:00,11/1/22 12:00,Local Library,100,10/25/22 10:00
113,Data Science Study Group,10/12/22 10:00,10/12/22 12:00,Community Center Room A,100,10/5/22 10:00
114,Girls in STEAM Mentoring,8/5/25 10:00,8/5/25 12:00,Local Library,100,7/29/25 10:00
115,Data Science Study Group,3/16/22 10:00,3/16/22 12:00,Virtual Zoom,100,3/9/22 10:00
116,Mentor Office Hours,9/21/25 10:00,9/21/25 12:00,Local Library,100,9/14/25 10:00
117,Mentor Office Hours,2/27/22 10:00,2/27/22 12:00,Virtual Zoom,100,2/20/22 10:00
118,Mentor Office Hours,7/27/25 10:00,7/27/25 12:00,Community Center Room A,100,7/20/25 10:00
